id,type_geom,coordinates,name,description,photos,frequence_usage_aucun,frequence_usage_ponctuel,frequence_usage_regulier,frequence_usage_quotidien,mode_usage_prevu,mode_usage_detourne,mode_usage_creatif,intensite_usage_aucun,intensite_usage_faible,intensite_usage_moyenne,intensite_usage_forte,echelle_micro,echelle_meso,echelle_macro,origine_forme_institutionnelle,origine_forme_singuliere,origine_forme_collective,accessibilite_libre,accessibilite_semi_ouverte,accessibilite_fermee,visibilite_cachee,visibilite_visible,visibilite_exposee,acteurs_visibles_habitant,acteurs_visibles_institution,acteurs_visibles_collectif,acteurs_visibles_invisible,rapport_affectif_symbolique
M001,Polygon,"""coordinates"": [
          [
            [
              1.4022151375598355,
              43.571228696738274
            ],
            [
              1.4022151375598355,
              43.571020871250425
            ],
            [
              1.402834121095026,
              43.571020871250425
            ],
            [
              1.402834121095026,
              43.571228696738274
            ],
            [
              1.4022151375598355,
              43.571228696738274
            ]
          ]
        ],",Marché sauvage Reynerie,Description a remplir,https://i.postimg.cc/ZnGD44Ss/M001.jpg,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
M002,Polygon,"""coordinates"": [
          [
            [
              1.4021581667335568,
              43.571256308118535
            ],
            [
              1.4021581667335568,
              43.57091722421356
            ],
            [
              1.4028737720880429,
              43.57091722421356
            ],
            [
              1.4028737720880429,
              43.571256308118535
            ],
            [
              1.4021581667335568,
              43.571256308118535
            ]
          ]
        ],",Marché sauvage reynerie: abandonné,Description a remplir,https://i.postimg.cc/PJpFgNB8/M002.jpg,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
M003,Polygon,"""coordinates"": [
          [
            [
              1.4028217176305304,
              43.570711318947076
            ],
            [
              1.4030459483379332,
              43.57071722802263
            ],
            [
              1.403043229735232,
              43.570827530727115
            ],
            [
              1.4034591758352235,
              43.570827530727115
            ],
            [
              1.4034618944366173,
              43.57092010605555
            ],
            [
              1.402779525345295,
              43.570902378876355
            ],
            [
              1.4025783488008017,
              43.57074677340992
            ],
            [
              1.4024097954797128,
              43.57064631903461
            ],
            [
              1.4023336746246287,
              43.57063844025271
            ],
            [
              1.4023282374205621,
              43.57042768246197
            ],
            [
              1.402817585772823,
              43.57043162186636
            ],
            [
              1.4028217176305304,
              43.570711318947076
            ]
          ]
        ],",Marché ramadan Reynerie,Description a remplir,https://i.postimg.cc/43sqYfhr/M003.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
M004,Point,"""coordinates"": [
          1.4028801136182096,
          43.570744803717815
        ],",Arbre comme porte affaires pour commerçant,Description a remplir,https://i.postimg.cc/9MNngyNh/M004.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
M005,Polygon,"""coordinates"": [
          [
            [
              1.3989675243882402,
              43.56579932741906
            ],
            [
              1.3989675243882402,
              43.56572392426963
            ],
            [
              1.399705883812885,
              43.56572392426963
            ],
            [
              1.399705883812885,
              43.56579932741906
            ],
            [
              1.3989675243882402,
              43.56579932741906
            ]
          ]
        ],",Marché ramadan Bellefontaine,Description a remplir,https://i.postimg.cc/MTGLY955/M005.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
M006,Point,"""coordinates"": [
          1.4069892970805142,
          43.57123226582058
        ],",Squat Messager 1,Description a remplir,https://i.postimg.cc/yNj59MmW/M006.jpg,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
M007,Point,"""coordinates"": [
          1.4066526086371596,
          43.57144253856384
        ],",Détournement électriicé à Messager,Description a remplir,https://i.postimg.cc/8zmDKndg/M007.jpg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
M008,Point,"""coordinates"": [
          1.406497613730238,
          43.57157419604789
        ],",Squat Messager (a documenter),Description a remplir,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
M009,Point,"""coordinates"": [
          1.3966564832778658,
          43.564719484397415
        ],",Squat Pigeonnier 1,Description a remplir,https://i.postimg.cc/cLS0cNnc/M009.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
M010,Point,"""coordinates"": [
          1.3961811989165938,
          43.56337760386177
        ],",Squat Pigeonnier 2,Description a remplir,https://i.postimg.cc/dtdJd0L1/M010.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
